Id,Geography,Target Geo Id,Target Geo Id2,Pop Apr 1,Pop Jul 1,Change Pop
0100000US,United States,310M400US10100,10100,40603,43191,2588
0100000US,United States,310M400US10140,10140,72798,73901,1103
0100000US,United States,310M400US10220,10220,37490,38247,757
0100000US,United States,310M400US10300,10300,99892,98266,-1626
0100000US,United States,310M400US10460,10460,63832,66781,2949
0100000US,United States,310M400US10620,10620,60586,62075,1489
0100000US,United States,310M400US10660,10660,31254,30444,-810
0100000US,United States,310M400US10700,10700,93019,96109,3090
0100000US,United States,310M400US10760,10760,41618,40497,-1121
0100000US,United States,310M400US10820,10820,36009,37964,1955
0100000US,United States,310M400US10860,10860,40836,40822,-14
0100000US,United States,310M400US10940,10940,42476,40599,-1877
0100000US,United States,310M400US10980,10980,29601,28360,-1241
0100000US,United States,310M400US11060,11060,26446,24949,-1497
0100000US,United States,310M400US11140,11140,37827,34969,-2858
0100000US,United States,310M400US11220,11220,50258,49455,-803
0100000US,United States,310M400US11380,11380,14786,18128,3342
0100000US,United States,310M400US11420,11420,34173,34586,413
0100000US,United States,310M400US11580,11580,34862,37489,2627
0100000US,United States,310M400US11620,11620,47733,48177,444
0100000US,United States,310M400US11660,11660,22993,22061,-932
0100000US,United States,310M400US11680,11680,36309,35218,-1091
0100000US,United States,310M400US11740,11740,53140,53745,605
0100000US,United States,310M400US11780,11780,101490,97493,-3997
0100000US,United States,310M400US11820,11820,37026,39764,2738
0100000US,United States,310M400US11860,11860,16921,16193,-728
0100000US,United States,310M400US11900,11900,64764,65818,1054
0100000US,United States,310M400US11940,11940,52279,53285,1006
0100000US,United States,310M400US11980,11980,78534,82299,3765
0100000US,United States,310M400US12120,12120,38320,36748,-1572
0100000US,United States,310M400US12140,12140,42229,43226,997
0100000US,United States,310M400US12180,12180,80017,77145,-2872
0100000US,United States,310M400US12300,12300,122154,122083,-71
0100000US,United States,310M400US12380,12380,39163,40011,848
0100000US,United States,310M400US12460,12460,27842,26575,-1267
0100000US,United States,310M400US12660,12660,61965,64249,2284
0100000US,United States,310M400US12680,12680,43443,45851,2408
0100000US,United States,310M400US12740,12740,59522,58140,-1382
0100000US,United States,310M400US12780,12780,50977,51843,866
0100000US,United States,310M400US12820,12820,27979,25398,-2581
0100000US,United States,310M400US12860,12860,59943,57511,-2432
0100000US,United States,310M400US12900,12900,36641,37678,1037
0100000US,United States,310M400US13060,13060,36702,36552,-150
0100000US,United States,310M400US13100,13100,22311,21493,-818
0100000US,United States,310M400US13180,13180,88759,87847,-912
0100000US,United States,310M400US13260,13260,46129,45668,-461
0100000US,United States,310M400US13300,13300,31861,32587,726
0100000US,United States,310M400US13340,13340,45851,45358,-493
0100000US,United States,310M400US13420,13420,44442,46847,2405
0100000US,United States,310M400US13500,13500,28935,26398,-2537
0100000US,United States,310M400US13540,13540,37125,35631,-1494
0100000US,United States,310M400US13620,13620,39358,37839,-1519
0100000US,United States,310M400US13660,13660,42798,43545,747
0100000US,United States,310M400US13700,13700,36238,37847,1609
0100000US,United States,310M400US13720,13720,61320,56503,-4817
0100000US,United States,310M400US13940,13940,45605,46236,631
0100000US,United States,310M400US14140,14140,107333,99986,-7347
0100000US,United States,310M400US14180,14180,46480,41239,-5241
0100000US,United States,310M400US14220,14220,47140,46582,-558
0100000US,United States,310M400US14300,14300,33910,35286,1376
0100000US,United States,310M400US14340,14340,26308,26346,38
0100000US,United States,310M400US14380,14380,51057,55945,4888
0100000US,United States,310M400US14420,14420,22249,21198,-1051
0100000US,United States,310M400US14580,14580,89513,111876,22363
0100000US,United States,310M400US14620,14620,43459,40968,-2491
0100000US,United States,310M400US14660,14660,91077,94408,3331
0100000US,United States,310M400US14700,14700,83885,87601,3716
0100000US,United States,310M400US14720,14720,27994,31007,3013
0100000US,United States,310M400US14780,14780,33695,35108,1413
0100000US,United States,310M400US14820,14820,33091,34215,1124
0100000US,United States,310M400US15020,15020,34870,34205,-665
0100000US,United States,310M400US15060,15060,22365,22813,448
0100000US,United States,310M400US15100,15100,31962,35232,3270
0100000US,United States,310M400US15140,15140,18807,17335,-1472
0100000US,United States,310M400US15220,15220,38106,37924,-182
0100000US,United States,310M400US15340,15340,43783,41550,-2233
0100000US,United States,310M400US15420,15420,43019,44689,1670
0100000US,United States,310M400US15460,15460,47653,45847,-1806
0100000US,United States,310M400US15580,15580,34209,34993,784
0100000US,United States,310M400US15620,15620,47586,48579,993
0100000US,United States,310M400US15660,15660,55186,57685,2499
0100000US,United States,310M400US15700,15700,32623,31998,-625
0100000US,United States,310M400US15740,15740,40091,39022,-1069
0100000US,United States,310M400US15780,15780,31496,28883,-2613
0100000US,United States,310M400US15820,15820,24500,25549,1049
0100000US,United States,310M400US15860,15860,46824,48021,1197
0100000US,United States,310M400US15900,15900,37069,34844,-2225
0100000US,United States,310M400US16100,16100,53823,57900,4077
0100000US,United States,310M400US16140,16140,20816,20154,-662
0100000US,United States,310M400US16260,16260,46163,52775,6612
0100000US,United States,310M400US16340,16340,41479,42470,991
0100000US,United States,310M400US16380,16380,40814,40959,145
0100000US,United States,310M400US16420,16420,31499,30774,-725
0100000US,United States,310M400US16460,16460,39437,37620,-1817
0100000US,United States,310M400US16500,16500,75457,79604,4147
0100000US,United States,310M400US16660,16660,64921,61693,-3228
0100000US,United States,310M400US17060,17060,78078,76931,-1147
0100000US,United States,310M400US17200,17200,218478,217215,-1263
0100000US,United States,310M400US17220,17220,94197,92822,-1375
0100000US,United States,310M400US17260,17260,26145,22628,-3517
0100000US,United States,310M400US17340,17340,64664,64382,-282
0100000US,United States,310M400US17380,17380,34153,31333,-2820
0100000US,United States,310M400US17500,17500,39143,41556,2413
0100000US,United States,310M400US17540,17540,49117,46518,-2599
0100000US,United States,310M400US17580,17580,48376,49437,1061
0100000US,United States,310M400US17700,17700,35468,32120,-3348
0100000US,United States,310M400US17740,17740,45248,43622,-1626
0100000US,United States,310M400US18060,18060,59779,58930,-849
0100000US,United States,310M400US18100,18100,32237,33363,1126
0100000US,United States,310M400US18180,18180,146457,151132,4675
0100000US,United States,310M400US18220,18220,24301,23047,-1254
0100000US,United States,310M400US18260,18260,106061,112669,6608
0100000US,United States,310M400US18300,18300,63054,64389,1335
0100000US,United States,310M400US18380,18380,23430,22601,-829
0100000US,United States,310M400US18420,18420,37060,36925,-135
0100000US,United States,310M400US18460,18460,43036,45388,2352
0100000US,United States,310M400US18500,18500,98990,95796,-3194
0100000US,United States,310M400US18620,18620,47840,49565,1725
0100000US,United States,310M400US18660,18660,49294,47823,-1471
0100000US,United States,310M400US18740,18740,36898,36629,-269
0100000US,United States,310M400US18780,18780,13791,13188,-603
0100000US,United States,310M400US18820,18820,38121,38346,225
0100000US,United States,310M400US18860,18860,28610,27828,-782
0100000US,United States,310M400US18900,18900,56062,59673,3611
0100000US,United States,310M400US18980,18980,80406,83442,3036
0100000US,United States,310M400US19000,19000,40261,43327,3066
0100000US,United States,310M400US19220,19220,53173,54744,1571
0100000US,United States,310M400US19260,19260,106550,101642,-4908
0100000US,United States,310M400US19420,19420,31800,33044,1244
0100000US,United States,310M400US19540,19540,34387,35636,1249
0100000US,United States,310M400US19580,19580,39030,38165,-865
0100000US,United States,310M400US19620,19620,48879,49208,329
0100000US,United States,310M400US19700,19700,25095,23963,-1132
0100000US,United States,310M400US19760,19760,35654,37253,1599
0100000US,United States,310M400US19860,19860,24199,30997,6798
0100000US,United States,310M400US19940,19940,36031,34223,-1808
0100000US,United States,310M400US19980,19980,33844,33888,44
0100000US,United States,310M400US20060,20060,42354,43093,739
0100000US,United States,310M400US20140,20140,58417,57033,-1384
0100000US,United States,310M400US20180,20180,81616,79388,-2228
0100000US,United States,310M400US20300,20300,21904,21485,-419
0100000US,United States,310M400US20340,20340,45048,43265,-1783
0100000US,United States,310M400US20380,20380,114681,134214,19533
0100000US,United States,310M400US20420,20420,51335,56310,4975
0100000US,United States,310M400US20460,20460,42416,47192,4776
0100000US,United States,310M400US20540,20540,38330,37320,-1010
0100000US,United States,310M400US20580,20580,54258,58485,4227
0100000US,United States,310M400US20660,20660,37777,36968,-809
0100000US,United States,310M400US20780,20780,52196,54993,2797
0100000US,United States,310M400US20820,20820,34246,34208,-38
0100000US,United States,310M400US20900,20900,41280,41619,339
0100000US,United States,310M400US20980,20980,41639,39126,-2513
0100000US,United States,310M400US21020,21020,64094,63771,-323
0100000US,United States,310M400US21120,21120,22119,21709,-410
0100000US,United States,310M400US21180,21180,29405,28823,-582
0100000US,United States,310M400US21220,21220,50929,54463,3534
0100000US,United States,310M400US21260,21260,40909,47364,6455
0100000US,United States,310M400US21380,21380,33692,33406,-286
0100000US,United States,310M400US21460,21460,49952,51909,1957
0100000US,United States,310M400US21540,21540,37069,35857,-1212
0100000US,United States,310M400US21580,21580,40220,39006,-1214
0100000US,United States,310M400US21640,21640,29968,27160,-2808
0100000US,United States,310M400US21700,21700,134611,136373,1762
0100000US,United States,310M400US21740,21740,21121,20299,-822
0100000US,United States,310M400US21840,21840,16840,18381,1541
0100000US,United States,310M400US21860,21860,20843,19785,-1058
0100000US,United States,310M400US21900,21900,56418,56097,-321
0100000US,United States,310M400US21980,21980,24877,24440,-437
0100000US,United States,310M400US22060,22060,64142,66523,2381
0100000US,United States,310M400US22100,22100,65367,66692,1325
0100000US,United States,310M400US22260,22260,57303,58812,1509
0100000US,United States,310M400US22280,22280,51980,55808,3828
0100000US,United States,310M400US22300,22300,74789,75930,1141
0100000US,United States,310M400US22340,22340,17637,16787,-850
0100000US,United States,310M400US22580,22580,67816,66826,-990
0100000US,United States,310M400US22620,22620,28254,25439,-2815
0100000US,United States,310M400US22700,22700,38013,36277,-1736
0100000US,United States,310M400US22780,22780,52274,52014,-260
0100000US,United States,310M400US22800,22800,62095,58741,-3354
0100000US,United States,310M400US22820,22820,28159,28558,399
0100000US,United States,310M400US22840,22840,71116,71385,269
0100000US,United States,310M400US22860,22860,52334,48860,-3474
0100000US,United States,310M400US23140,23140,33219,32250,-969
0100000US,United States,310M400US23180,23180,70730,73478,2748
0100000US,United States,310M400US23240,23240,24836,26804,1968
0100000US,United States,310M400US23300,23300,47711,44753,-2958
0100000US,United States,310M400US23340,23340,36685,36791,106
0100000US,United States,310M400US23380,23380,60946,58799,-2147
0100000US,United States,310M400US23500,23500,55488,57078,1590
0100000US,United States,310M400US23620,23620,38439,40574,2135
0100000US,United States,310M400US23660,23660,52925,50112,-2813
0100000US,United States,310M400US23700,23700,71485,72290,805
0100000US,United States,310M400US23780,23780,40767,40554,-213
0100000US,United States,310M400US23820,23820,46997,48467,1470
0100000US,United States,310M400US23860,23860,60328,62249,1921
0100000US,United States,310M400US23940,23940,46133,46140,7
0100000US,United States,310M400US23980,23980,52275,54206,1931
0100000US,United States,310M400US24060,24060,73538,77720,4182
0100000US,United States,310M400US24100,24100,55520,53591,-1929
0100000US,United States,310M400US24330,24330,45051,45108,57
0100000US,United States,310M400US24380,24380,27215,26746,-469
0100000US,United States,310M400US24460,24460,27672,26111,-1561
0100000US,United States,310M400US24620,24620,68825,69087,262
0100000US,United States,310M400US24640,24640,71377,70963,-414
0100000US,United States,310M400US24700,24700,25739,26794,1055
0100000US,United States,310M400US24740,24740,51135,45063,-6072
0100000US,United States,310M400US24820,24820,52969,51323,-1646
0100000US,United States,310M400US24900,24900,42979,38830,-4149
0100000US,United States,310M400US24940,24940,95110,95282,172
0100000US,United States,310M400US24980,24980,21905,21055,-850
0100000US,United States,310M400US25100,25100,20640,20455,-185
0100000US,United States,310M400US25200,25200,27700,29088,1388
0100000US,United States,310M400US25300,25300,38948,38804,-144
0100000US,United States,310M400US25460,25460,45237,45285,48
0100000US,United States,310M400US25580,25580,31367,31511,144
0100000US,United States,310M400US25700,25700,28452,28710,258
0100000US,United States,310M400US25720,25720,23525,33240,9715
0100000US,United States,310M400US25740,25740,74798,80797,5999
0100000US,United States,310M400US25760,25760,21755,18029,-3726
0100000US,United States,310M400US25780,25780,45419,44582,-837
0100000US,United States,310M400US25820,25820,19372,18760,-612
0100000US,United States,310M400US25840,25840,87062,88888,1826
0100000US,United States,310M400US25880,25880,46686,45749,-937
0100000US,United States,310M400US25900,25900,185076,200983,15907
0100000US,United States,310M400US26020,26020,64727,69611,4884
0100000US,United States,310M400US26090,26090,111407,117327,5920
0100000US,United States,310M400US26220,26220,22346,23428,1082
0100000US,United States,310M400US26260,26260,31613,30067,-1546
0100000US,United States,310M400US26340,26340,38781,38332,-449
0100000US,United States,310M400US26460,26460,63057,59916,-3141
0100000US,United States,310M400US26500,26500,46009,45168,-841
0100000US,United States,310M400US26540,26540,37123,36240,-883
0100000US,United States,310M400US26660,26660,82536,87220,4684
0100000US,United States,310M400US26700,26700,17399,18883,1484
0100000US,United States,310M400US26740,26740,64511,62342,-2169
0100000US,United States,310M400US26780,26780,36645,35873,-772
0100000US,United States,310M400US26860,26860,88889,84501,-4388
0100000US,United States,310M400US26940,26940,29383,25735,-3648
0100000US,United States,310M400US26960,26960,63899,64210,311
0100000US,United States,310M400US27020,27020,30591,29704,-887
0100000US,United States,310M400US27160,27160,33225,32384,-841
0100000US,United States,310M400US27220,27220,31463,34721,3258
0100000US,United States,310M400US27300,27300,40900,38902,-1998
0100000US,United States,310M400US27380,27380,50834,52592,1758
0100000US,United States,310M400US27420,27420,21100,20917,-183
0100000US,United States,310M400US27460,27460,134907,127939,-6968
0100000US,United States,310M400US27540,27540,54598,54975,377
0100000US,United States,310M400US27600,27600,60457,70422,9965
0100000US,United States,310M400US27660,27660,31592,31582,-10
0100000US,United States,310M400US27700,27700,30099,29808,-291
0100000US,United States,310M400US27920,27920,34354,32594,-1760
0100000US,United States,310M400US27940,27940,31275,32113,838
0100000US,United States,310M400US28060,28060,90927,102106,11179
0100000US,United States,310M400US28180,28180,67095,72133,5038
0100000US,United States,310M400US28260,28260,52588,56159,3571
0100000US,United States,310M400US28300,28300,77122,76493,-629
0100000US,United States,310M400US28340,28340,47540,47532,-8
0100000US,United States,310M400US28380,28380,31953,29423,-2530
0100000US,United States,310M400US28500,28500,49625,52405,2780
0100000US,United States,310M400US28540,28540,13519,13918,399
0100000US,United States,310M400US28580,28580,73090,75027,1937
0100000US,United States,310M400US28620,28620,38327,40632,2305
0100000US,United States,310M400US28780,28780,32474,31571,-903
0100000US,United States,310M400US28820,28820,59511,55976,-3535
0100000US,United States,310M400US28860,28860,30035,29938,-97
0100000US,United States,310M400US28900,28900,66380,67653,1273
0100000US,United States,310M400US29060,29060,60073,61022,949
0100000US,United States,310M400US29260,29260,25744,26461,717
0100000US,United States,310M400US29300,29300,67039,70034,2995
0100000US,United States,310M400US29380,29380,67526,70503,2977
0100000US,United States,310M400US29500,29500,13833,12619,-1214
0100000US,United States,310M400US29660,29660,36299,38601,2302
0100000US,United States,310M400US29780,29780,29379,27591,-1788
0100000US,United States,310M400US29860,29860,84834,84889,55
0100000US,United States,310M400US29900,29900,36160,34810,-1350
0100000US,United States,310M400US29980,29980,41851,43734,1883
0100000US,United States,310M400US30060,30060,35571,35713,142
0100000US,United States,310M400US30220,30220,22927,22980,53
