Id,Geography,Target Geo Id,Target Geo Id2,Pop Apr 1,Pop Jul 1,Change Pop
0100000US,United States,310M400US30260,30260,44963,44785,-178
0100000US,United States,310M400US30280,30280,30608,33683,3075
0100000US,United States,310M400US30380,30380,46679,46222,-457
0100000US,United States,310M400US30420,30420,26370,25705,-665
0100000US,United States,310M400US30580,30580,22950,21780,-1170
0100000US,United States,310M400US30660,30660,30305,28925,-1380
0100000US,United States,310M400US30820,30820,39240,38684,-556
0100000US,United States,310M400US30880,30880,36754,32607,-4147
0100000US,United States,310M400US30900,30900,38966,37955,-1011
0100000US,United States,310M400US30940,30940,126370,128215,1845
0100000US,United States,310M400US31060,31060,17950,19101,1151
0100000US,United States,310M400US31220,31220,28691,29100,409
0100000US,United States,310M400US31260,31260,86771,87092,321
0100000US,United States,310M400US31300,31300,134229,131831,-2398
0100000US,United States,310M400US31380,31380,32610,29955,-2655
0100000US,United States,310M400US31500,31500,32404,32208,-196
0100000US,United States,310M400US31580,31580,46918,45068,-1850
0100000US,United States,310M400US31620,31620,24552,23537,-1015
0100000US,United States,310M400US31660,31660,51607,50293,-1314
0100000US,United States,310M400US31680,31680,33011,33701,690
0100000US,United States,310M400US31820,31820,81442,79074,-2368
0100000US,United States,310M400US31930,31930,61781,60155,-1626
0100000US,United States,310M400US31940,31940,65778,63417,-2361
0100000US,United States,310M400US31980,31980,70063,65936,-4127
0100000US,United States,310M400US32000,32000,44996,45507,511
0100000US,United States,310M400US32020,32020,66501,65256,-1245
0100000US,United States,310M400US32100,32100,67071,66516,-555
0100000US,United States,310M400US32140,32140,25857,25629,-228
0100000US,United States,310M400US32180,32180,23370,22895,-475
0100000US,United States,310M400US32220,32220,65644,66726,1082
0100000US,United States,310M400US32260,32260,40648,39981,-667
0100000US,United States,310M400US32280,32280,35015,33415,-1600
0100000US,United States,310M400US32300,32300,67996,63855,-4141
0100000US,United States,310M400US32340,32340,23370,22304,-1066
0100000US,United States,310M400US32380,32380,51742,50100,-1642
0100000US,United States,310M400US32460,32460,37129,37317,188
0100000US,United States,310M400US32500,32500,17490,17150,-340
0100000US,United States,310M400US32540,32540,45837,43877,-1960
0100000US,United States,310M400US32620,32620,53535,51889,-1646
0100000US,United States,310M400US32660,32660,39824,40878,1054
0100000US,United States,310M400US32700,32700,29181,28537,-644
0100000US,United States,310M400US32740,32740,88750,85063,-3687
0100000US,United States,310M400US32860,32860,43865,45131,1266
0100000US,United States,310M400US32940,32940,107445,100948,-6497
0100000US,United States,310M400US32980,32980,28743,27689,-1054
0100000US,United States,310M400US33020,33020,25529,25473,-56
0100000US,United States,310M400US33060,33060,31848,31175,-673
0100000US,United States,310M400US33180,33180,28691,26569,-2122
0100000US,United States,310M400US33300,33300,55241,53171,-2070
0100000US,United States,310M400US33420,33420,28122,28875,753
0100000US,United States,310M400US33500,33500,69537,75934,6397
0100000US,United States,310M400US33580,33580,22836,23166,330
0100000US,United States,310M400US33620,33620,25414,24763,-651
0100000US,United States,310M400US33940,33940,41277,42214,937
0100000US,United States,310M400US33980,33980,66463,69524,3061
0100000US,United States,310M400US34020,34020,54650,49774,-4876
0100000US,United States,310M400US34140,34140,37243,40134,2891
0100000US,United States,310M400US34180,34180,89124,97331,8207
0100000US,United States,310M400US34220,34220,45499,45592,93
0100000US,United States,310M400US34260,34260,41513,41619,106
0100000US,United States,310M400US34300,34300,27040,27259,219
0100000US,United States,310M400US34340,34340,73743,71948,-1795
0100000US,United States,310M400US34380,34380,70313,70562,249
0100000US,United States,310M400US34420,34420,32334,33033,699
0100000US,United States,310M400US34460,34460,44398,47037,2639
0100000US,United States,310M400US34500,34500,38825,37820,-1005
0100000US,United States,310M400US34540,34540,60932,61893,961
0100000US,United States,310M400US34660,34660,37190,39135,1945
0100000US,United States,310M400US34700,34700,42749,42929,180
0100000US,United States,310M400US34780,34780,70988,68362,-2626
0100000US,United States,310M400US34860,34860,64524,65711,1187
0100000US,United States,310M400US35020,35020,53121,50764,-2357
0100000US,United States,310M400US35060,35060,39569,38659,-910
0100000US,United States,310M400US35140,35140,37508,38520,1012
0100000US,United States,310M400US35220,35220,49466,48271,-1195
0100000US,United States,310M400US35260,35260,91140,86184,-4956
0100000US,United States,310M400US35420,35420,92587,92176,-411
0100000US,United States,310M400US35440,35440,46033,49388,3355
0100000US,United States,310M400US35460,35460,35642,35774,132
0100000US,United States,310M400US35500,35500,36842,37147,305
0100000US,United States,310M400US35580,35580,25893,25111,-782
0100000US,United States,310M400US35700,35700,47420,46511,-909
0100000US,United States,310M400US35740,35740,48270,48504,234
0100000US,United States,310M400US35820,35820,37590,36426,-1164
0100000US,United States,310M400US35860,35860,28529,27611,-918
0100000US,United States,310M400US35900,35900,69310,68557,-753
0100000US,United States,310M400US35940,35940,59623,58504,-1119
0100000US,United States,310M400US36020,36020,78508,84460,5952
0100000US,United States,310M400US36300,36300,111940,108047,-3893
0100000US,United States,310M400US36340,36340,54992,51266,-3726
0100000US,United States,310M400US36380,36380,39996,41537,1541
0100000US,United States,310M400US36460,36460,80343,76840,-3503
0100000US,United States,310M400US36580,36580,62277,59749,-2528
0100000US,United States,310M400US36620,36620,53938,54276,338
0100000US,United States,310M400US36660,36660,83384,82764,-620
0100000US,United States,310M400US36700,36700,92509,86934,-5575
0100000US,United States,310M400US36820,36820,22382,22000,-382
0100000US,United States,310M400US36830,36830,18728,19759,1031
0100000US,United States,310M400US36840,36840,25996,25631,-365
0100000US,United States,310M400US36860,36860,154901,148163,-6738
0100000US,United States,310M400US36900,36900,44377,44222,-155
0100000US,United States,310M400US36940,36940,36581,36803,222
0100000US,United States,310M400US37020,37020,70663,68192,-2471
0100000US,United States,310M400US37060,37060,47359,54793,7434
0100000US,United States,310M400US37080,37080,57531,60115,2584
0100000US,United States,310M400US37120,37120,50249,48956,-1293
0100000US,United States,310M400US37140,37140,98757,96647,-2110
0100000US,United States,310M400US37220,37220,43945,45346,1401
0100000US,United States,310M400US37260,37260,74368,74163,-205
0100000US,United States,310M400US37300,37300,58459,58057,-402
0100000US,United States,310M400US37420,37420,22537,21895,-642
0100000US,United States,310M400US37500,37500,42090,45325,3235
0100000US,United States,310M400US37540,37540,32349,32358,9
0100000US,United States,310M400US37580,37580,49789,49728,-61
0100000US,United States,310M400US37660,37660,21606,19964,-1642
0100000US,United States,310M400US37740,37740,53594,53889,295
0100000US,United States,310M400US37780,37780,13783,15695,1912
0100000US,United States,310M400US37800,37800,33307,33407,100
0100000US,United States,310M400US37940,37940,36905,35567,-1338
0100000US,United States,310M400US38100,38100,55752,55387,-365
0100000US,United States,310M400US38180,38180,21356,22064,708
0100000US,United States,310M400US38240,38240,88242,98682,10440
0100000US,United States,310M400US38260,38260,39135,39019,-116
0100000US,United States,310M400US38380,38380,36206,33830,-2376
0100000US,United States,310M400US38420,38420,51205,51554,349
0100000US,United States,310M400US38460,38460,82131,80695,-1436
0100000US,United States,310M400US38500,38500,47050,46248,-802
0100000US,United States,310M400US38580,38580,58290,56697,-1593
0100000US,United States,310M400US38620,38620,46562,44161,-2401
0100000US,United States,310M400US38700,38700,38948,35761,-3187
0100000US,United States,310M400US38740,38740,42794,42639,-155
0100000US,United States,310M400US38780,38780,19840,18743,-1097
0100000US,United States,310M400US38820,38820,71404,76737,5333
0100000US,United States,310M400US38840,38840,41433,40769,-664
0100000US,United States,310M400US38920,38920,21382,21561,179
0100000US,United States,310M400US39020,39020,79493,75502,-3991
0100000US,United States,310M400US39060,39060,148291,142067,-6224
0100000US,United States,310M400US39220,39220,21403,20269,-1134
0100000US,United States,310M400US39260,39260,20978,23867,2889
0100000US,United States,310M400US39420,39420,44778,49791,5013
0100000US,United States,310M400US39500,39500,77306,75546,-1760
0100000US,United States,310M400US39700,39700,22136,21515,-621
0100000US,United States,310M400US39780,39780,63440,63916,476
0100000US,United States,310M400US39860,39860,46185,46403,218
0100000US,United States,310M400US39940,39940,50787,52472,1685
0100000US,United States,310M400US39980,39980,68996,65936,-3060
0100000US,United States,310M400US40080,40080,99969,109118,9149
0100000US,United States,310M400US40100,40100,60968,64525,3557
0100000US,United States,310M400US40180,40180,40123,39531,-592
0100000US,United States,310M400US40260,40260,76733,70250,-6483
0100000US,United States,310M400US40300,40300,53497,50923,-2574
0100000US,United States,310M400US40460,40460,46647,44887,-1760
0100000US,United States,310M400US40540,40540,43806,43051,-755
0100000US,United States,310M400US40620,40620,45156,44732,-424
0100000US,United States,310M400US40700,40700,107684,110283,2599
0100000US,United States,310M400US40740,40740,65648,64689,-959
0100000US,United States,310M400US40760,40760,20495,19556,-939
0100000US,United States,310M400US40780,40780,83939,85535,1596
0100000US,United States,310M400US40820,40820,46740,47196,456
0100000US,United States,310M400US40860,40860,61653,58672,-2981
0100000US,United States,310M400US40940,40940,37219,38072,853
0100000US,United States,310M400US41220,41220,50512,53677,3165
0100000US,United States,310M400US41260,41260,31946,30169,-1777
0100000US,United States,310M400US41400,41400,107852,102665,-5187
0100000US,United States,310M400US41460,41460,61700,60203,-1497
0100000US,United States,310M400US41760,41760,40877,44727,3850
0100000US,United States,310M400US41780,41780,77066,74615,-2451
0100000US,United States,310M400US41820,41820,57858,61452,3594
0100000US,United States,310M400US42300,42300,38669,37517,-1152
0100000US,United States,310M400US42380,42380,62704,60833,-1871
0100000US,United States,310M400US42420,42420,38971,37906,-1065
0100000US,United States,310M400US42460,42460,53224,51736,-1488
0100000US,United States,310M400US42620,42620,77078,78727,1649
0100000US,United States,310M400US42740,42740,42201,42542,341
0100000US,United States,310M400US42780,42780,39719,40540,821
0100000US,United States,310M400US42820,42820,43818,38310,-5508
0100000US,United States,310M400US42860,42860,74275,78374,4099
0100000US,United States,310M400US42900,42900,35243,34300,-943
0100000US,United States,310M400US42940,42940,89719,97892,8173
0100000US,United States,310M400US42980,42980,42376,44111,1735
0100000US,United States,310M400US43020,43020,46187,45454,-733
0100000US,United States,310M400US43060,43060,69443,72679,3236
0100000US,United States,310M400US43140,43140,98032,97645,-387
0100000US,United States,310M400US43180,43180,45057,49038,3981
0100000US,United States,310M400US43220,43220,60692,65507,4815
0100000US,United States,310M400US43260,43260,29119,30233,1114
0100000US,United States,310M400US43320,43320,107488,110445,2957
0100000US,United States,310M400US43380,43380,49418,48627,-791
0100000US,United States,310M400US43460,43460,39188,38458,-730
0100000US,United States,310M400US43500,43500,29510,27346,-2164
0100000US,United States,310M400US43660,43660,16919,16866,-53
0100000US,United States,310M400US43700,43700,63061,64623,1562
0100000US,United States,310M400US43740,43740,77737,73952,-3785
0100000US,United States,310M400US43760,43760,55368,54539,-829
0100000US,United States,310M400US43940,43940,24090,25741,1651
0100000US,United States,310M400US43980,43980,16667,16134,-533
0100000US,United States,310M400US44020,44020,16667,17153,486
0100000US,United States,310M400US44260,44260,47671,49599,1928
0100000US,United States,310M400US44340,44340,70246,77296,7050
0100000US,United States,310M400US44460,44460,23506,25733,2227
0100000US,United States,310M400US44500,44500,37900,42446,4546
0100000US,United States,310M400US44540,44540,22709,21528,-1181
0100000US,United States,310M400US44580,44580,58494,55626,-2868
0100000US,United States,310M400US44620,44620,70021,70942,921
0100000US,United States,310M400US44660,44660,77350,82040,4690
0100000US,United States,310M400US44740,44740,20265,19874,-391
0100000US,United States,310M400US44780,44780,61295,61043,-252
0100000US,United States,310M400US44860,44860,35161,36810,1649
0100000US,United States,310M400US44900,44900,26017,24790,-1227
0100000US,United States,310M400US44920,44920,36324,41933,5609
0100000US,United States,310M400US44980,44980,94483,91083,-3400
0100000US,United States,310M400US45000,45000,34895,30802,-4093
0100000US,United States,310M400US45020,45020,15215,14751,-464
0100000US,United States,310M400US45140,45140,46982,48675,1693
0100000US,United States,310M400US45180,45180,94041,90543,-3498
0100000US,United States,310M400US45340,45340,32935,32835,-100
0100000US,United States,310M400US45380,45380,34793,32661,-2132
0100000US,United States,310M400US45520,45520,25211,26505,1294
0100000US,United States,310M400US45580,45580,27151,26215,-936
0100000US,United States,310M400US45620,45620,44724,44448,-276
0100000US,United States,310M400US45660,45660,56742,55207,-1535
0100000US,United States,310M400US45700,45700,40132,40571,439
0100000US,United States,310M400US45740,45740,26173,26035,-138
0100000US,United States,310M400US45860,45860,189925,181111,-8814
0100000US,United States,310M400US45900,45900,143365,149914,6549
0100000US,United States,310M400US45980,45980,32895,33338,443
0100000US,United States,310M400US46020,46020,98745,99696,951
0100000US,United States,310M400US46100,46100,100209,104001,3792
0100000US,United States,310M400US46180,46180,136268,140552,4284
0100000US,United States,310M400US46380,46380,87850,87606,-244
0100000US,United States,310M400US46460,46460,38620,36387,-2233
0100000US,United States,310M400US46500,46500,40099,38754,-1345
0100000US,United States,310M400US46620,46620,26405,26846,441
0100000US,United States,310M400US46740,46740,34171,33615,-556
0100000US,United States,310M400US46780,46780,28759,28281,-478
0100000US,United States,310M400US46820,46820,13868,14041,173
0100000US,United States,310M400US46860,46860,32588,35438,2850
0100000US,United States,310M400US46900,46900,13535,12820,-715
0100000US,United States,310M400US46980,46980,58368,55178,-3190
0100000US,United States,310M400US47080,47080,36351,36080,-271
0100000US,United States,310M400US47180,47180,38440,36895,-1545
0100000US,United States,310M400US47240,47240,16535,17352,817
0100000US,United States,310M400US47340,47340,32888,31280,-1608
0100000US,United States,310M400US47420,47420,22897,22493,-404
0100000US,United States,310M400US47540,47540,45949,45804,-145
0100000US,United States,310M400US47620,47620,41811,39498,-2313
0100000US,United States,310M400US47660,47660,52595,53652,1057
0100000US,United States,310M400US47700,47700,77354,79344,1990
0100000US,United States,310M400US47780,47780,31654,33147,1493
0100000US,United States,310M400US47820,47820,47768,47079,-689
0100000US,United States,310M400US47920,47920,29035,28666,-369
0100000US,United States,310M400US47980,47980,27225,28015,790
0100000US,United States,310M400US48020,48020,83683,85129,1446
0100000US,United States,310M400US48100,48100,27731,27245,-486
0100000US,United States,310M400US48180,48180,55067,55069,2
0100000US,United States,310M400US48220,48220,27469,29036,1567
0100000US,United States,310M400US48460,48460,40398,40076,-322
0100000US,United States,310M400US48500,48500,20634,19386,-1248
0100000US,United States,310M400US48580,48580,102228,103718,1490
0100000US,United States,310M400US48780,48780,22399,35350,12951
0100000US,United States,310M400US48820,48820,42239,42855,616
0100000US,United States,310M400US48940,48940,42035,42057,22
0100000US,United States,310M400US48980,48980,81218,81455,237
0100000US,United States,310M400US49080,49080,16521,16786,265
0100000US,United States,310M400US49100,49100,51461,50825,-636
0100000US,United States,310M400US49220,49220,74749,73055,-1694
0100000US,United States,310M400US49260,49260,20081,20222,141
0100000US,United States,310M400US49300,49300,114516,115967,1451
0100000US,United States,310M400US49380,49380,21378,21924,546
0100000US,United States,310M400US49460,49460,22438,22869,431
0100000US,United States,310M400US49780,49780,86086,86183,97
0100000US,United States,310M400US49820,49820,14018,14190,172
0100000US,United States,0400000US72,72,3726157,3195153,-531004
0100000US,United States,04000E0US72,72,130989,117214,-13775
0100000US,United States,310M400US10260,10260,19483,17302,-2181
0100000US,United States,310M400US17620,17620,40512,37845,-2667
0100000US,United States,310M400US17640,17640,31078,27083,-3995
0100000US,United States,310M400US27580,27580,16642,13947,-2695
0100000US,United States,310M400US42180,42180,23274,21037,-2237
